Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
G***,monitor,225.8mm,7.1mm,225.8mm,7.1mm,225.8mm,7.1mm,T,0,LOGO
REF**,KiCad-Logo_5mm_Copper,7.7mm,13.3mm,7.7mm,13.3mm,7.7mm,13.3mm,T,0,KiCad-Logo_5mm_Copper
REF**,WEEE-Logo_4.2x6mm_SilkScreen,7.8mm,6.8mm,7.8mm,6.8mm,7.8mm,6.8mm,T,0,WEEE-Logo_4.2x6mm_SilkScreen
C1,C_0805_2012Metric,106.0mm,22.0mm,106.0mm,22.0mm,105.0625mm,22.0mm,B,0,22p
C2,C_0805_2012Metric,106.025mm,12.6mm,106.025mm,12.6mm,105.0875mm,12.6mm,B,0,22p
C3,C_0805_2012Metric,106.025mm,6.6mm,106.025mm,6.6mm,105.0875mm,6.6mm,B,0,1u
C4,C_0805_2012Metric,106.025mm,9.7mm,106.025mm,9.7mm,105.0875mm,9.7mm,B,0,100n
C5,C_0805_2012Metric,106.025mm,25.1mm,106.025mm,25.1mm,105.0875mm,25.1mm,B,0,100n
C6,C_0805_2012Metric,128.725mm,11.8mm,128.725mm,11.8mm,129.6625mm,11.8mm,B,180,100n
C7,C_0805_2012Metric,128.625mm,18.9mm,128.625mm,18.9mm,129.5625mm,18.9mm,B,180,100n
C8,C_0805_2012Metric,122.025mm,5.6mm,122.025mm,5.6mm,122.9625mm,5.6mm,B,180,4.7u
D1,SOD-123,33.05625mm,83.896875mm,33.05625mm,83.896875mm,33.05625mm,82.246875mm,B,90,D
D10,SOD-123,204.50625mm,83.896875mm,204.50625mm,83.896875mm,204.50625mm,82.246875mm,B,90,D
D11,SOD-123,223.55625mm,83.896875mm,223.55625mm,83.896875mm,223.55625mm,82.246875mm,B,90,D
D12,SOD-123,242.60625mm,83.896875mm,242.60625mm,83.896875mm,242.60625mm,82.246875mm,B,90,D
D13,SOD-123,261.65625mm,83.896875mm,261.65625mm,83.896875mm,261.65625mm,82.246875mm,B,90,D
D14,SOD-123,280.70625mm,83.896875mm,280.70625mm,83.896875mm,280.70625mm,82.246875mm,B,90,D
D15,SOD-123,299.75625mm,83.896875mm,299.75625mm,83.896875mm,299.75625mm,82.246875mm,B,90,D
D16,SOD-123,37.81875mm,64.846875mm,37.81875mm,64.846875mm,37.81875mm,63.196875mm,B,90,D
D17,SOD-123,61.63125mm,64.85mm,61.63125mm,64.85mm,61.63125mm,63.2mm,B,90,D
D18,SOD-123,80.68125mm,64.846875mm,80.68125mm,64.846875mm,80.68125mm,63.196875mm,B,90,D
D19,SOD-123,99.73125mm,64.846875mm,99.73125mm,64.846875mm,99.73125mm,63.196875mm,B,90,D
D2,SOD-123,52.2mm,83.95mm,52.2mm,83.95mm,52.2mm,82.3mm,B,90,D
D20,SOD-123,118.78125mm,64.846875mm,118.78125mm,64.846875mm,118.78125mm,63.196875mm,B,90,D
D21,SOD-123,137.83125mm,64.846875mm,137.83125mm,64.846875mm,137.83125mm,63.196875mm,B,90,D
D22,SOD-123,156.88125mm,64.846875mm,156.88125mm,64.846875mm,156.88125mm,63.196875mm,B,90,D
D23,SOD-123,175.93125mm,64.846875mm,175.93125mm,64.846875mm,175.93125mm,63.196875mm,B,90,D
D24,SOD-123,194.98125mm,64.846875mm,194.98125mm,64.846875mm,194.98125mm,63.196875mm,B,90,D
D25,SOD-123,214.03125mm,64.846875mm,214.03125mm,64.846875mm,214.03125mm,63.196875mm,B,90,D
D26,SOD-123,233.08125mm,64.846875mm,233.08125mm,64.846875mm,233.08125mm,63.196875mm,B,90,D
D27,SOD-123,252.13125mm,64.846875mm,252.13125mm,64.846875mm,252.13125mm,63.196875mm,B,90,D
D28,SOD-123,271.18125mm,64.846875mm,271.18125mm,64.846875mm,271.18125mm,63.196875mm,B,90,D
D29,SOD-123,40.2mm,45.796875mm,40.2mm,45.796875mm,40.2mm,44.146875mm,B,90,D
D3,SOD-123,71.15625mm,83.896875mm,71.15625mm,83.896875mm,71.15625mm,82.246875mm,B,90,D
D30,SOD-123,66.39375mm,45.796875mm,66.39375mm,45.796875mm,66.39375mm,44.146875mm,B,90,D
D31,SOD-123,85.5mm,45.75mm,85.5mm,45.75mm,85.5mm,44.1mm,B,90,D
D32,SOD-123,104.49375mm,45.796875mm,104.49375mm,45.796875mm,104.49375mm,44.146875mm,B,90,D
D33,SOD-123,123.54375mm,45.796875mm,123.54375mm,45.796875mm,123.54375mm,44.146875mm,B,90,D
D34,SOD-123,142.59375mm,45.796875mm,142.59375mm,45.796875mm,142.59375mm,44.146875mm,B,90,D
D35,SOD-123,161.64375mm,45.796875mm,161.64375mm,45.796875mm,161.64375mm,44.146875mm,B,90,D
D36,SOD-123,180.69375mm,45.796875mm,180.69375mm,45.796875mm,180.69375mm,44.146875mm,B,90,D
D37,SOD-123,199.74375mm,45.796875mm,199.74375mm,45.796875mm,199.74375mm,44.146875mm,B,90,D
D38,SOD-123,218.79375mm,45.796875mm,218.79375mm,45.796875mm,218.79375mm,44.146875mm,B,90,D
D39,SOD-123,237.84375mm,45.796875mm,237.84375mm,45.796875mm,237.84375mm,44.146875mm,B,90,D
D4,SOD-123,90.20625mm,83.896875mm,90.20625mm,83.896875mm,90.20625mm,82.246875mm,B,90,D
D40,SOD-123,256.89375mm,45.796875mm,256.89375mm,45.796875mm,256.89375mm,44.146875mm,B,90,D
D41,SOD-123,275.94375mm,45.796875mm,275.94375mm,45.796875mm,275.94375mm,44.146875mm,B,90,D
D42,SOD-123,297.375mm,55.321875mm,297.375mm,55.321875mm,297.375mm,53.671875mm,B,90,D
D43,SOD-123,42.58125mm,26.746875mm,42.58125mm,26.746875mm,42.58125mm,25.096875mm,B,90,D
D44,SOD-123,71.15625mm,26.746875mm,71.15625mm,26.746875mm,71.15625mm,25.096875mm,B,90,D
D45,SOD-123,90.3mm,26.75mm,90.3mm,26.75mm,90.3mm,25.1mm,B,90,D
D46,SOD-123,110.4mm,29.2mm,110.4mm,29.2mm,110.4mm,27.55mm,B,90,D
D47,SOD-123,129.10625mm,29.146875mm,129.10625mm,29.146875mm,129.10625mm,27.496875mm,B,90,D
D48,SOD-123,147.35625mm,26.746875mm,147.35625mm,26.746875mm,147.35625mm,25.096875mm,B,90,D
D49,SOD-123,166.40625mm,26.746875mm,166.40625mm,26.746875mm,166.40625mm,25.096875mm,B,90,D
D5,SOD-123,109.25625mm,83.896875mm,109.25625mm,83.896875mm,109.25625mm,82.246875mm,B,90,D
D50,SOD-123,185.45625mm,26.746875mm,185.45625mm,26.746875mm,185.45625mm,25.096875mm,B,90,D
D51,SOD-123,204.50625mm,26.746875mm,204.50625mm,26.746875mm,204.50625mm,25.096875mm,B,90,D
D52,SOD-123,223.55625mm,26.746875mm,223.55625mm,26.746875mm,223.55625mm,25.096875mm,B,90,D
D53,SOD-123,242.60625mm,26.746875mm,242.60625mm,26.746875mm,242.60625mm,25.096875mm,B,90,D
D54,SOD-123,261.65625mm,26.746875mm,261.65625mm,26.746875mm,261.65625mm,25.096875mm,B,90,D
D55,SOD-123,280.70625mm,26.746875mm,280.70625mm,26.746875mm,280.70625mm,25.096875mm,B,90,D
D56,SOD-123,299.75625mm,26.746875mm,299.75625mm,26.746875mm,299.75625mm,25.096875mm,B,90,D
D57,SOD-123,35.4375mm,7.696875mm,35.4375mm,7.696875mm,35.4375mm,6.046875mm,B,90,D
D58,SOD-123,59.25mm,7.696875mm,59.25mm,7.696875mm,59.25mm,6.046875mm,B,90,D
D59,SOD-123,83.0625mm,7.696875mm,83.0625mm,7.696875mm,83.0625mm,6.046875mm,B,90,D
D6,SOD-123,128.30625mm,83.896875mm,128.30625mm,83.896875mm,128.30625mm,82.246875mm,B,90,D
D60,SOD-123,154.5mm,7.696875mm,154.5mm,7.696875mm,154.5mm,6.046875mm,B,90,D
D61,SOD-123,261.65625mm,7.696875mm,261.65625mm,7.696875mm,261.65625mm,6.046875mm,B,90,D
D62,SOD-123,280.70625mm,7.696875mm,280.70625mm,7.696875mm,280.70625mm,6.046875mm,B,90,D
D63,SOD-123,299.75625mm,7.696875mm,299.75625mm,7.696875mm,299.75625mm,6.046875mm,B,90,D
D7,SOD-123,147.35625mm,83.896875mm,147.35625mm,83.896875mm,147.35625mm,82.246875mm,B,90,D
D8,SOD-123,166.40625mm,83.896875mm,166.40625mm,83.896875mm,166.40625mm,82.246875mm,B,90,D
D9,SOD-123,185.45625mm,83.896875mm,185.45625mm,83.896875mm,185.45625mm,82.246875mm,B,90,D
G***,warning,12.0mm,66.8mm,12.0mm,66.8mm,12.0mm,66.8mm,B,270,LOGO
G***,brand,178.2mm,4.1mm,178.2mm,4.1mm,178.2mm,4.1mm,B,180,LOGO
G***,bulb,227.0mm,4.9mm,227.0mm,4.9mm,227.0mm,4.9mm,B,180,LOGO
R1,R_0805_2012Metric,12.825mm,80.1mm,12.825mm,80.1mm,13.7625mm,80.1mm,B,180,22
R2,R_0805_2012Metric,12.9mm,83.2mm,12.9mm,83.2mm,13.8375mm,83.2mm,B,180,22
R3,R_0805_2012Metric,128.725mm,8.5mm,128.725mm,8.5mm,127.7875mm,8.5mm,B,0,10k
R4,R_0805_2012Metric,128.6mm,23.6mm,128.6mm,23.6mm,129.5375mm,23.6mm,B,180,10k
SW1,SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin,147.265mm,4.0mm,147.265mm,4.0mm,150.63mm,4.0mm,B,180,SW_PUSH
U1,TQFP-44_10x10mm_Pitch0.8mm,117.8mm,14.6mm,117.8mm,14.6mm,121.8mm,8.9mm,B,180,ATMEGA32U4
Y1,Crystal_SMD-3225_4P_3.2x2.5mm,106.15mm,17.1mm,106.15mm,17.1mm,107.0mm,18.2mm,B,270,Crystal_GND24
Through Hole Items ,,,,,,,,,,
E1,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,4.40125mm,22.85mm,4.40125mm,22.85mm,9.40125mm,37.35mm,T,90,Rotary_Encoder_Switch
K1,MXOnly-1U-Hotswap,25.9125mm,87.46875mm,25.9125mm,87.46875mm,18.8275mm,90.00875mm,T,0,KEYSW
K10,MXOnly-1U-Hotswap,197.3625mm,87.46875mm,197.3625mm,87.46875mm,190.2775mm,90.00875mm,T,0,KEYSW
K11,MXOnly-1U-Hotswap,216.4125mm,87.46875mm,216.4125mm,87.46875mm,209.3275mm,90.00875mm,T,0,KEYSW
K12,MXOnly-1U-Hotswap,235.4625mm,87.46875mm,235.4625mm,87.46875mm,228.3775mm,90.00875mm,T,0,KEYSW
K13,MXOnly-1U-Hotswap,254.5125mm,87.46875mm,254.5125mm,87.46875mm,247.4275mm,90.00875mm,T,0,KEYSW
K14,MXOnly-1U-Hotswap,273.5625mm,87.46875mm,273.5625mm,87.46875mm,266.4775mm,90.00875mm,T,0,KEYSW
K15,MXOnly-1U-Hotswap,292.6125mm,87.46875mm,292.6125mm,87.46875mm,285.5275mm,90.00875mm,T,0,KEYSW
K16,MXOnly-1.5U-Hotswap,30.675mm,68.41875mm,30.675mm,68.41875mm,23.59mm,70.95875mm,T,0,KEYSW
K17,MXOnly-1U-Hotswap,54.4875mm,68.41875mm,54.4875mm,68.41875mm,47.4025mm,70.95875mm,T,0,KEYSW
K18,MXOnly-1U-Hotswap,73.5375mm,68.41875mm,73.5375mm,68.41875mm,66.4525mm,70.95875mm,T,0,KEYSW
